area_name,area_name_eng
池袋・目白,ikebukuro/mejiro
赤羽・板橋・王子・巣鴨,akabane/itabashi/oji/sugamo
上野・神田・北千住・亀有・青砥・町屋,ueno/kanda/kitasenju/kameari/aoto/machiya
新宿・高田馬場・代々木,shinjuku/takadanobaba/yoyogi
御茶ノ水・四ツ谷・千駄木・茗荷谷,ochanomizu/yotsuya/sendagi/myougadani
銀座・有楽町・新橋・丸の内・日本橋,ginza/yurakucho/shimbashi/marunouchi/nihombashi
両国・錦糸町・小岩・森下・瑞江,ryogoku/kinshicho/koiwa/morishita/mizue
渋谷,shibuya
青山・表参道・原宿,aoyama/omotesando/harajuku
門前仲町・勝どき・月島・豊洲,monzennakacho/kachidoki/tsukishima/toyosu
代官山・中目黒・自由が丘・武蔵小杉・学大,daikanyama/nakameguro/jiyugaoka/musashikosugi/gakugei-daigaku
恵比寿・広尾・六本木・麻布・赤坂,ebisu/hiroo/ropponngi/azabu/akasaka
品川・五反田・目黒・田町,shinagawa/gotanda/meguro/tamachi
中野・高円寺・阿佐ヶ谷,nakano/koenji/asagaya
下北沢・成城学園・向ヶ丘遊園・新百合ヶ丘,shimokitazawa/seijogakuen/mukogaoka-yuen/shinyuri-gaoka
吉祥寺・荻窪・三鷹・国分寺・久我山,kichijoji/ogikubo/mitaka/kokubunji/kugayama
明大前・千歳烏山・調布・府中,meidaimae/chitose-karasuyama/chofu/fuchu
八王子・立川・国立・多摩・日野・秋川,hachioji/tachikawa/kunitachi/tama/hino/akigawa
町田・相模原・厚木・大和・秦野,machida/sagamihara/atsugi/yamato/hatano
鷺ノ宮・田無・東村山・拝島,saginomiya/tanashi/higashi-murayama/haijima